Level: State
Unit:Per Capita (dollars), Real (2020$)
State,Year,(R63) Liquor Stores Revenue (A90),(E024) Total Educ-Direct Exp,(E025) Total Educ-Cur Oper,(E036) Educational Assistance (E19),(E087) Police Prot-Direct Exp,(E088) Police Prot-Cur Oper (E62),(E089) Police Prot-Cap Outlay,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E106) Liquor Store and Utility Expend,(E107) Liquor Stores-Tot Exp,(E108) Liquor Stores-Cur Oper (E90),(E109) Liquor Stores-Cap Out
Maine,2006.0,$              0,$            856,$            704,$             54,$             62,$             59,$              3,$           2387,$           2210,$            174,$              0,$              0,$              0,$              0
Maine,2007.0,$              0,$            864,$            702,$             53,$             66,$             60,$              5,$           2279,$           2099,$            178,$              0,$              0,$              0,$              0
Maine,2008.0,$              0,$            839,$            708,$             53,$             63,$             62,$              1,$           2233,$           2066,$            166,$              0,$              0,$              0,$              0
Maine,2009.0,$              0,$            867,$            745,$             58,$             67,$             66,$              1,$           2564,$           2421,$            143,$              1,$              0,$              0,$              0
Maine,2010.0,$              0,$            876,$            748,$             72,$             68,$             67,$              1,$           2584,$           2469,$            115,$              3,$              0,$              0,$              0
Maine,2011.0,$              0,$            889,$            741,$             78,$             60,$             59,$              1,$           2498,$           2372,$            126,$              4,$              0,$              0,$              0
Maine,2012.0,$              0,$            832,$            699,$             76,$             62,$             62,$              0,$           2547,$           2478,$             69,$              2,$              0,$              0,$              0
Maine,2013.0,$              0,$            814,$            693,$             74,$             62,$             61,$              1,$           2509,$           2454,$             55,$             20,$              0,$              0,$              0
Maine,2014.0,$              0,$            814,$            688,$             75,$             61,$             60,$              1,$           2836,$           2788,$             48,$             16,$              0,$              0,$              0
Maine,2015.0,$              0,$            803,$            661,$             80,$             62,$             62,$              1,$           2455,$           2413,$             42,$             17,$              0,$              0,$              0
Maine,2016.0,$              0,$            817,$            675,$             91,$             68,$             68,$              1,$           2518,$           2479,$             39,$             17,$              0,$              0,$              0
Maine,2017.0,$            141,$            791,$            655,$             96,$             71,$             70,$              1,$           2473,$           2437,$             36,$            111,$             94,$             94,$              0
Maine,2018.0,$            143,$            781,$            643,$             97,$             70,$             69,$              1,$           2536,$           2503,$             32,$            116,$             94,$             94,$              0
Maine,2019.0,$            150,$            780,$            643,$            103,$             71,$             70,$              1,$           2613,$           2580,$             33,$            122,$             99,$             99,$              0
Maine,2020.0,$            160,$            793,$            635,$            116,$             71,$             70,$              1,$           2838,$           2801,$             37,$            126,$            106,$            106,$              0
Maryland,1977.0,$              0,$            524,$            468,$             25,$             42,$             39,$              4,$            326,$            326,$              0,$             50,$              0,$              0,$              0
Maryland,1978.0,$              0,$            503,$            448,$             25,$             41,$             38,$              3,$            560,$            375,$            183,$             52,$              0,$              0,$              0
Maryland,1979.0,$              0,$            544,$            477,$             24,$             41,$             41,$              0,$            546,$            372,$            172,$             57,$              0,$              0,$              0
Maryland,1980.0,$              0,$            499,$            440,$             27,$             44,$             42,$              2,$            557,$            377,$            178,$            174,$              0,$              0,$              0
Maryland,1981.0,$              0,$            511,$            440,$             31,$             47,$             46,$              1,$            599,$            432,$            166,$            140,$              0,$              0,$              0
Maryland,1982.0,$              0,$            518,$            444,$             32,$             41,$             40,$              1,$            561,$            411,$            149,$            118,$              0,$              0,$              0
Maryland,1983.0,$              0,$            547,$            471,$             31,$             41,$             39,$              2,$            604,$            454,$            150,$            136,$              0,$              0,$              0
Maryland,1984.0,$              0,$            554,$            486,$             30,$             39,$             37,$              2,$            610,$            457,$            153,$             95,$              0,$              0,$              0
Maryland,1985.0,$              0,$            560,$            489,$             31,$             46,$             40,$              6,$            653,$            500,$            153,$            100,$              0,$              0,$              0
Maryland,1986.0,$              0,$            576,$            502,$             31,$             46,$             43,$              3,$            676,$            516,$            159,$            108,$              0,$              0,$              0
Maryland,1987.0,$              0,$            601,$            505,$             32,$             50,$             46,$              4,$            691,$            540,$            151,$             88,$              0,$              0,$              0
Maryland,1988.0,$              0,$            582,$            478,$             34,$             49,$             46,$              3,$            717,$            555,$            161,$             77,$              0,$              0,$              0
Maryland,1989.0,$              0,$            565,$            497,$             40,$             59,$             49,$              9,$            731,$            574,$            156,$             88,$              0,$              0,$              0
Maryland,1990.0,$              0,$            613,$            521,$             45,$             61,$             49,$             12,$            769,$            612,$            155,$            128,$              0,$              0,$              0
Maryland,1991.0,$              0,$            666,$            557,$             43,$             71,$             55,$             16,$            823,$            664,$            155,$            146,$              0,$              0,$              0
Maryland,1992.0,$              0,$            639,$            539,$             42,$             54,$             52,$              2,$           1003,$            846,$            156,$            132,$              0,$              0,$              0
Maryland,1993.0,$              0,$            679,$            558,$             44,$             51,$             48,$              3,$            966,$            820,$            144,$            114,$              0,$              0,$              0
Maryland,1994.0,$              0,$            647,$            540,$             47,$             51,$             48,$              3,$            956,$            809,$            146,$            108,$              0,$              0,$              0
Maryland,1995.0,$              0,$            607,$            507,$             49,$             54,$             51,$              4,$            990,$            844,$            145,$            118,$              0,$              0,$              0
Maryland,1996.0,$              0,$            620,$            515,$             52,$             67,$             52,$             15,$            943,$            817,$            125,$            127,$              0,$              0,$              0
Maryland,1997.0,$              0,$            669,$            565,$             56,$             55,$             53,$              2,$            945,$            829,$            115,$            112,$              0,$              0,$              0
Maryland,1998.0,$              0,$            670,$            572,$             58,$             58,$             55,$              2,$            993,$            856,$            135,$            112,$              0,$              0,$              0
Maryland,1999.0,$              0,$            698,$            596,$             61,$             62,$             59,$              3,$           1064,$            921,$            138,$            107,$              0,$              0,$              0
Maryland,2000.0,$              0,$            751,$            633,$             65,$             66,$             63,$              4,$           1110,$            973,$            133,$            109,$              0,$              0,$              0
Maryland,2001.0,$              0,$            818,$            676,$             72,$             67,$             64,$              3,$           1168,$           1055,$            110,$            114,$              0,$              0,$              0
Maryland,2002.0,$              0,$            903,$            740,$             84,$             79,$             75,$              3,$           1223,$           1129,$             92,$            126,$              0,$              0,$              0
Maryland,2003.0,$              0,$            917,$            732,$             84,$             78,$             76,$              3,$           1293,$           1205,$             87,$            125,$              0,$              0,$              0
Maryland,2004.0,$              0,$            871,$            718,$             82,$             80,$             78,$              2,$           1356,$           1265,$             90,$            136,$              0,$              0,$              0
Maryland,2005.0,$              0,$            884,$            740,$             83,$             75,$             73,$              2,$           1379,$           1300,$             79,$            150,$              0,$              0,$              0
Maryland,2006.0,$              0,$            867,$            724,$             84,$             74,$             72,$              2,$           1451,$           1302,$            148,$            139,$              0,$              0,$              0
Maryland,2007.0,$              0,$            897,$            739,$             88,$             78,$             77,$              1,$           1512,$           1358,$            153,$            122,$              0,$              0,$              0
Maryland,2008.0,$              0,$            946,$            790,$             86,$             72,$             71,$              1,$           1504,$           1343,$            160,$            151,$              0,$              0,$              0
Maryland,2009.0,$              0,$            947,$            764,$             89,$             81,$             79,$              2,$           1711,$           1513,$            198,$            173,$              0,$              0,$              0
Maryland,2010.0,$              0,$            986,$            798,$             84,$             82,$             80,$              1,$           1798,$           1557,$            239,$            174,$              0,$              0,$              0
Maryland,2011.0,$              0,$            956,$            775,$             81,$             89,$             80,$              9,$           1823,$           1568,$            254,$            175,$              0,$              0,$              0
Maryland,2012.0,$              0,$           1015,$            838,$             78,$             83,$             82,$              1,$           1873,$           1608,$            264,$            175,$              0,$              0,$              0
Maryland,2013.0,$              0,$            949,$            805,$             53,$             91,$             87,$              4,$           1878,$           1602,$            275,$            174,$              0,$              0,$              0
Maryland,2014.0,$              0,$           1008,$            825,$             54,$             90,$             87,$              2,$           1989,$           1723,$            265,$            176,$              0,$              0,$              0
Maryland,2015.0,$              0,$            982,$            842,$             55,$             91,$             87,$              4,$           2198,$           1941,$            256,$            188,$              0,$              0,$              0
Maryland,2016.0,$              0,$           1035,$            857,$             56,$             93,$             90,$              4,$           2135,$           1891,$            243,$            176,$              0,$              0,$              0
Maryland,2017.0,$              0,$            989,$            845,$             57,$             94,$             91,$              3,$           2253,$           2033,$            219,$            295,$              0,$              0,$              0
Maryland,2018.0,$              0,$           1000,$            856,$             60,$             94,$             91,$              3,$           2190,$           1986,$            201,$            293,$              0,$              0,$              0
Maryland,2019.0,$              0,$           1055,$            923,$             60,$            101,$             97,$              3,$           2268,$           2076,$            190,$            290,$              0,$              0,$              0
Maryland,2020.0,$              0,$           1079,$            937,$             63,$            106,$            102,$              4,$           2386,$           2142,$            241,$            354,$              0,$              0,$              0
Massachusetts,1977.0,$              0,$            380,$            296,$             20,$             28,$             27,$              2,$            990,$            627,$            361,$             14,$              0,$              0,$              0
Massachusetts,1978.0,$              0,$            355,$            295,$             22,$             23,$             22,$              1,$            966,$            614,$            351,$             11,$              0,$              0,$              0
Massachusetts,1979.0,$              0,$            349,$            300,$             21,$             18,$             17,$              1,$            957,$            642,$            315,$             11,$              0,$              0,$              0
Massachusetts,1980.0,$              0,$            314,$            280,$             20,$             18,$             16,$              1,$            959,$            669,$            289,$             10,$              0,$              0,$              0
Massachusetts,1981.0,$              0,$            301,$            273,$             17,$             18,$             16,$              2,$            963,$            687,$            275,$             11,$              0,$              0,$              0
Massachusetts,1982.0,$              0,$            312,$            286,$             17,$             16,$             16,$              1,$            943,$            692,$            250,$             11,$              0,$              0,$              0
Massachusetts,1983.0,$              0,$            323,$            295,$             16,$             21,$             19,$              2,$            929,$            706,$            222,$             11,$              0,$              0,$              0
Massachusetts,1984.0,$              0,$            363,$            323,$             24,$             20,$             18,$              2,$            926,$            711,$            214,$             11,$              0,$              0,$              0
Massachusetts,1985.0,$              0,$            458,$            368,$             33,$             22,$             22,$              0,$            960,$            745,$            215,$             10,$              0,$              0,$              0
Massachusetts,1986.0,$              0,$            458,$            388,$             35,$             31,$             31,$              0,$           1096,$            866,$            228,$             10,$              0,$              0,$              0
Massachusetts,1987.0,$              0,$            492,$            406,$             44,$             38,$             35,$              3,$           1128,$            882,$            245,$             14,$              0,$              0,$              0
Massachusetts,1988.0,$              0,$            514,$            433,$             47,$             46,$             45,$              1,$           1187,$            927,$            259,$             18,$              0,$              0,$              0
Massachusetts,1989.0,$              0,$            515,$            422,$             44,$             41,$             40,$              1,$           1231,$            960,$            271,$             23,$              0,$              0,$              0
Massachusetts,1990.0,$              0,$            480,$            410,$             40,$             37,$             36,$              0,$           1437,$           1177,$            259,$             23,$              0,$              0,$              0
Massachusetts,1991.0,$              0,$            475,$            413,$             39,$             35,$             34,$              1,$           1681,$           1406,$            274,$             21,$              0,$              0,$              0
Massachusetts,1992.0,$              0,$            469,$            407,$             27,$             35,$             34,$              1,$           1528,$           1265,$            263,$             36,$              0,$              0,$              0
Massachusetts,1993.0,$              0,$            495,$            438,$             36,$             46,$             41,$              5,$           1512,$           1254,$            258,$             33,$              0,$              0,$              0
Massachusetts,1994.0,$              0,$            491,$            439,$             37,$             51,$             48,$              3,$           1600,$           1345,$            253,$             26,$              0,$              0,$              0
Massachusetts,1995.0,$              0,$            509,$            453,$             40,$             58,$             51,$              7,$           1627,$           1394,$            231,$             27,$              0,$              0,$              0
Massachusetts,1996.0,$              0,$            529,$            466,$             44,$             67,$             59,$              8,$           1522,$           1326,$            192,$             24,$              0,$              0,$              0
Massachusetts,1997.0,$              0,$            563,$            494,$             39,$             55,$             48,$              7,$           1447,$           1280,$            163,$             25,$              0,$              0,$              0
Massachusetts,1998.0,$              0,$            594,$            525,$             41,$             64,$             57,$              7,$           1496,$           1359,$            134,$             28,$              0,$              0,$              0
Massachusetts,1999.0,$              0,$            607,$            524,$             48,$             93,$             87,$              5,$           1420,$           1306,$            112,$             29,$              0,$              0,$              0
Massachusetts,2000.0,$              0,$            643,$            548,$             51,$             92,$             89,$              4,$           1476,$           1384,$             90,$             72,$              0,$              0,$              0
Massachusetts,2001.0,$              0,$            683,$            586,$             51,$             61,$             57,$              4,$           1586,$           1499,$             85,$             68,$              0,$              0,$              0
Massachusetts,2002.0,$              0,$            715,$            599,$             48,$             64,$             61,$              4,$           1270,$           1181,$             88,$             75,$              0,$              0,$              0
Massachusetts,2003.0,$              0,$            731,$            635,$             44,$             65,$             59,$              6,$           1093,$           1005,$             87,$             63,$              0,$              0,$              0
Massachusetts,2004.0,$              0,$            905,$            798,$             47,$             69,$             63,$              6,$           2188,$           2083,$            103,$             46,$              0,$              0,$              0
Massachusetts,2005.0,$              0,$            836,$            722,$             50,$             75,$             69,$              6,$           2078,$           1997,$             79,$             45,$              0,$              0,$              0
Massachusetts,2006.0,$              0,$            900,$            761,$             48,$             80,$             72,$              8,$           2184,$           2111,$             71,$             46,$              0,$              0,$              0
Massachusetts,2007.0,$              0,$            907,$            761,$             53,$             90,$             87,$              3,$           2373,$           2303,$             69,$             48,$              0,$              0,$              0
Massachusetts,2008.0,$              0,$            886,$            754,$             54,$             80,$             77,$              3,$           2289,$           2221,$             67,$             44,$              0,$              0,$              0
Massachusetts,2009.0,$              0,$            951,$            762,$             55,$             84,$             81,$              3,$           2385,$           2315,$             70,$             44,$              0,$              0,$              0
Massachusetts,2010.0,$              0,$            934,$            766,$             61,$             96,$             94,$              2,$           2435,$           2362,$             73,$             47,$              0,$              0,$              0
Massachusetts,2011.0,$              0,$            995,$            790,$             56,$            120,$            118,$              2,$           2503,$           2431,$             72,$            387,$              0,$              0,$              0
Massachusetts,2012.0,$              0,$            988,$            767,$             59,$            123,$            115,$              8,$           2722,$           2610,$            105,$            398,$              0,$              0,$              0
Massachusetts,2013.0,$              0,$           1000,$            773,$             61,$            123,$            116,$              7,$           2752,$           2648,$             99,$            386,$              0,$              0,$              0
Massachusetts,2014.0,$              0,$           1014,$            819,$             61,$            161,$            153,$              8,$           2895,$           2888,$              0,$            385,$              0,$              0,$              0
Massachusetts,2015.0,$              0,$           1048,$            843,$             63,$            131,$            125,$              6,$           3121,$           3031,$             83,$            591,$              0,$              0,$              0
Massachusetts,2016.0,$              0,$           1044,$            861,$             65,$            131,$            125,$              6,$           3397,$           3314,$             77,$            546,$              0,$              0,$              0
Massachusetts,2017.0,$              0,$           1083,$            861,$             73,$             77,$             73,$              4,$           3373,$           3284,$             82,$            495,$              0,$              0,$              0
Massachusetts,2018.0,$              0,$           1037,$            853,$             75,$             79,$             74,$              5,$           3495,$           3410,$             78,$            545,$              0,$              0,$              0
Massachusetts,2019.0,$              0,$            996,$            843,$             80,$             75,$             71,$              5,$           3542,$           3459,$             76,$            503,$              0,$              0,$              0
Massachusetts,2020.0,$              0,$            987,$            834,$             88,$             82,$             75,$              6,$           3646,$           3558,$             81,$            596,$              0,$              0,$              0
Michigan,1977.0,$            158,$            605,$            545,$             33,$             31,$             28,$              3,$            824,$            499,$            325,$            131,$            131,$            131,$              0
Michigan,1978.0,$            158,$            638,$            572,$             37,$             31,$             29,$              2,$            810,$            509,$            300,$            133,$            133,$            133,$              0
Michigan,1979.0,$            149,$            604,$            537,$             35,$             33,$             31,$              2,$            818,$            522,$            295,$            122,$            122,$            122,$              0
Michigan,1980.0,$            138,$            589,$            514,$             35,$             32,$             31,$              1,$            848,$            540,$            307,$            116,$            116,$            116,$              0
Michigan,1981.0,$            129,$            573,$            501,$             32,$             28,$             28,$              1,$            819,$            497,$            322,$            106,$            106,$            106,$              0
Michigan,1982.0,$            124,$            584,$            513,$             40,$             30,$             28,$              1,$            842,$            557,$            285,$            104,$            104,$            104,$              0
Michigan,1983.0,$            117,$            544,$            479,$             37,$             30,$             30,$              0,$            964,$            577,$            386,$             97,$             97,$             97,$              0
Michigan,1984.0,$            112,$            545,$            477,$             38,$             32,$             32,$              1,$           1076,$            678,$            397,$             91,$             91,$             91,$              0
Michigan,1985.0,$            114,$            548,$            460,$             38,$             32,$             32,$              1,$            987,$            615,$            369,$            102,$            102,$            102,$              0
Michigan,1986.0,$            111,$            645,$            537,$             42,$             35,$             34,$              1,$            997,$            621,$            373,$             94,$             94,$             94,$              0
Michigan,1987.0,$            106,$            684,$            576,$             45,$             36,$             35,$              1,$            989,$            648,$            338,$            103,$            103,$            102,$              0
Michigan,1988.0,$             98,$            742,$            538,$             48,$             37,$             36,$              1,$            978,$            642,$            333,$             83,$             83,$             83,$              0
Michigan,1989.0,$             94,$            688,$            542,$             48,$             38,$             36,$              2,$            947,$            633,$            312,$             80,$             80,$             80,$              0
Michigan,1990.0,$             91,$            674,$            556,$             46,$             40,$             38,$              1,$            903,$            603,$            298,$             77,$             77,$             77,$              0
Michigan,1991.0,$             89,$            690,$            578,$             49,$             38,$             36,$              1,$            968,$            691,$            275,$             76,$             76,$             76,$              0
Michigan,1992.0,$             86,$            693,$            592,$             51,$             38,$             37,$              1,$           1027,$            798,$            227,$             74,$             74,$             74,$              0
Michigan,1993.0,$             85,$            707,$            603,$             54,$             36,$             35,$              1,$           1101,$            885,$            215,$             70,$             70,$             70,$              0
Michigan,1994.0,$             82,$            736,$            592,$             54,$             37,$             36,$              1,$           1185,$            987,$            195,$             65,$             64,$             64,$              0
Michigan,1995.0,$             80,$            780,$            620,$             63,$             35,$             34,$              1,$           1067,$            900,$            165,$             63,$             63,$             63,$              0
Michigan,1996.0,$             80,$            827,$            661,$             65,$             36,$             36,$              1,$           1070,$            930,$            136,$             63,$             63,$             63,$              0
Michigan,1997.0,$             79,$            793,$            660,$             52,$             37,$             35,$              2,$           1087,$            966,$            116,$             62,$             62,$             62,$              0
Michigan,1998.0,$             83,$            833,$            688,$             56,$             37,$             35,$              2,$           1035,$            924,$            105,$             64,$             64,$             64,$              0
Michigan,1999.0,$             82,$            886,$            723,$             57,$             41,$             38,$              3,$            928,$            849,$             74,$             66,$             66,$             66,$              0
Michigan,2000.0,$             86,$            949,$            794,$             48,$             43,$             38,$              5,$           1149,$           1082,$             60,$             70,$             70,$             70,$              0
Michigan,2001.0,$             87,$            981,$            829,$             50,$             41,$             40,$              2,$           1267,$           1201,$             60,$             71,$             71,$             71,$              0
Michigan,2002.0,$             87,$            947,$            788,$             31,$             44,$             41,$              3,$           1303,$           1227,$             69,$             72,$             72,$             72,$              0
Michigan,2003.0,$             89,$            903,$            758,$             35,$             43,$             41,$              2,$           1217,$           1136,$             74,$             73,$             73,$             73,$              0
Michigan,2004.0,$             92,$           1055,$            842,$             79,$             39,$             38,$              2,$           1292,$           1211,$             75,$             75,$             75,$             75,$              0
Michigan,2005.0,$             91,$           1035,$            822,$             77,$             38,$             37,$              1,$           1222,$           1161,$             61,$             73,$             73,$             73,$              0
Michigan,2006.0,$             92,$           1063,$            838,$             84,$             37,$             36,$              1,$           1168,$           1110,$             58,$             67,$             67,$             67,$              0
Michigan,2007.0,$             93,$           1051,$            867,$             85,$             32,$             32,$              1,$           1228,$           1166,$             62,$             75,$             75,$             75,$              0
Michigan,2008.0,$             93,$           1069,$            870,$             91,$             37,$             37,$              0,$           1262,$           1208,$             53,$             75,$             75,$             75,$              0
Michigan,2009.0,$             95,$           1039,$            860,$            103,$             35,$             35,$              1,$           1381,$           1325,$             55,$             77,$             77,$             77,$              0
Michigan,2010.0,$             94,$           1142,$            869,$            110,$             32,$             31,$              0,$           1413,$           1355,$             57,$             76,$             76,$             76,$              0
Michigan,2011.0,$             94,$           1108,$            860,$             97,$             30,$             29,$              0,$           1404,$           1342,$             62,$             77,$             77,$             77,$              0
Michigan,2012.0,$             97,$           1140,$            879,$             99,$             30,$             30,$              0,$           1362,$           1318,$             44,$             79,$             79,$             79,$              0
Michigan,2013.0,$            102,$           1112,$            878,$            102,$             41,$             41,$              0,$           1351,$           1315,$             36,$             83,$             83,$             83,$              0
Michigan,2014.0,$            105,$           1161,$            890,$            105,$             45,$             44,$              1,$           1401,$           1365,$             36,$             85,$             85,$             85,$              0
Michigan,2015.0,$            112,$           1153,$            913,$            108,$             47,$             47,$              0,$           1672,$           1646,$             26,$             90,$             90,$             90,$              0
Michigan,2016.0,$            110,$           1211,$            940,$            119,$             49,$             49,$              1,$           1694,$           1666,$             28,$             89,$             89,$             89,$              0
Michigan,2017.0,$            114,$           1229,$            942,$            126,$             50,$             50,$              0,$           1654,$           1628,$             26,$             92,$             92,$             92,$              0
Michigan,2018.0,$            115,$           1281,$            977,$            142,$             50,$             50,$              1,$           1649,$           1627,$             18,$             92,$             92,$             92,$              0
Michigan,2019.0,$            119,$           1278,$            974,$            148,$             51,$             50,$              1,$           1774,$           1753,$             18,$             96,$             96,$             96,$              0
Michigan,2020.0,$            124,$           1273,$            976,$            163,$             53,$             52,$              1,$           1799,$           1777,$             19,$            100,$            100,$            100,$              0
Minnesota,1977.0,$              0,$            706,$            590,$             45,$             19,$             18,$              2,$            422,$            419,$              1,$              0,$              0,$              0,$              0
Minnesota,1978.0,$              0,$            694,$            587,$             42,$             24,$             22,$              2,$            479,$            477,$              0,$              0,$              0,$              0,$              0
Minnesota,1979.0,$              0,$            619,$            536,$             33,$             24,$             20,$              4,$            444,$            440,$              0,$              0,$              0,$              0,$              0
Minnesota,1980.0,$              0,$            601,$            519,$             29,$             24,$             21,$              3,$            429,$            425,$              2,$              0,$              0,$              0,$              0
Minnesota,1981.0,$              0,$            602,$            523,$             34,$             20,$             18,$              2,$            482,$            475,$              5,$              0,$              0,$              0,$              0
Minnesota,1982.0,$              0,$            630,$            550,$             33,$             20,$             18,$              2,$            509,$            499,$              5,$              0,$              0,$              0,$              0
Minnesota,1983.0,$              0,$            612,$            548,$             33,$             20,$             18,$              2,$            527,$            523,$              4,$              0,$              0,$              0,$              0
Minnesota,1984.0,$              0,$            710,$            601,$             49,$             19,$             19,$              1,$            546,$            543,$              2,$              0,$              0,$              0,$              0
Minnesota,1985.0,$              0,$            674,$            575,$             45,$             22,$             19,$              3,$            584,$            580,$              2,$              0,$              0,$              0,$              0
Minnesota,1986.0,$              0,$            714,$            612,$             51,$             22,$             19,$              2,$            586,$            582,$              1,$              0,$              0,$              0,$              0
Minnesota,1987.0,$              0,$            742,$            623,$             58,$             21,$             19,$              2,$            605,$            602,$              1,$              0,$              0,$              0,$              0
Minnesota,1988.0,$              0,$            693,$            582,$             58,$             25,$             22,$              3,$            608,$            605,$              1,$              0,$              0,$              0,$              0
Minnesota,1989.0,$              0,$            718,$            599,$             51,$             24,$             22,$              2,$            633,$            627,$              2,$              0,$              0,$              0,$              0
Minnesota,1990.0,$              0,$            734,$            622,$             53,$             24,$             22,$              2,$            662,$            658,$              0,$              0,$              0,$              0,$              0
Minnesota,1991.0,$              0,$            796,$            678,$             59,$             24,$             23,$              1,$            751,$            724,$             20,$              0,$              0,$              0,$              0
Minnesota,1992.0,$              0,$            745,$            628,$             62,$             24,$             23,$              1,$           1022,$            823,$            195,$              0,$              0,$              0,$              0
Minnesota,1993.0,$              0,$            778,$            649,$             65,$             25,$             23,$              1,$           1085,$            876,$            205,$              0,$              0,$              0,$              0
Minnesota,1994.0,$              0,$            772,$            643,$             73,$             26,$             23,$              3,$           1173,$            971,$            198,$              0,$              0,$              0,$              0
Minnesota,1995.0,$              0,$            816,$            680,$             68,$             26,$             24,$              2,$           1237,$           1047,$            180,$              0,$              0,$              0,$              0
Minnesota,1996.0,$              0,$            777,$            642,$             72,$             30,$             28,$              2,$           1286,$           1121,$            162,$              0,$              0,$              0,$              0
Minnesota,1997.0,$              0,$            810,$            674,$             73,$             26,$             24,$              2,$           1249,$           1088,$            159,$              0,$              0,$              0,$              0
Minnesota,1998.0,$              0,$            899,$            760,$             72,$             34,$             30,$              4,$           1336,$           1198,$            130,$              0,$              0,$              0,$              0
Minnesota,1999.0,$              0,$            931,$            780,$             74,$             34,$             31,$              2,$           1391,$           1283,$            102,$              0,$              0,$              0,$              0
Minnesota,2000.0,$              0,$            950,$            788,$             80,$             38,$             35,$              3,$           1455,$           1358,$             93,$              0,$              0,$              0,$              0
Minnesota,2001.0,$              0,$            990,$            817,$             84,$             44,$             41,$              3,$           1555,$           1456,$             96,$              0,$              0,$              0,$              0
Minnesota,2002.0,$              0,$           1002,$            812,$             93,$             51,$             47,$              4,$           1740,$           1636,$            100,$              0,$              0,$              0,$              0
Minnesota,2003.0,$              0,$           1021,$            841,$             95,$             56,$             53,$              2,$           2003,$           1882,$            118,$             31,$              0,$              0,$              0
Minnesota,2004.0,$              0,$            994,$            824,$             94,$             56,$             53,$              3,$           1832,$           1719,$            110,$             27,$              0,$              0,$              0
Minnesota,2005.0,$              0,$            996,$            838,$             96,$             54,$             49,$              4,$           1966,$           1839,$            124,$             26,$              0,$              0,$              0
Minnesota,2006.0,$              0,$           1062,$            898,$             95,$             58,$             55,$              3,$           1807,$           1718,$             85,$             27,$              0,$              0,$              0
